,year,rGDP_USD,imports_GDP,govdebt_GDP,M2,infl,unemp,cbrate,ltrate,Δ_govdebt_GDP,Δ_M2,Country,Year,Consumer_Confidence,inflation_bin,kmeans_cluster,infl_lagged
1,1975,0.012230641739272376,0.11338711278490533,0.07598340608978127,7.216174822375253e-06,1.0,0.2621698611732282,0.23170420705473754,0.48796721187886893,0.47274898253298203,0.8390146435191497,Australia,1975,0.2859790942914683,High,0.5,0.8272726626494371
2,1976,0.012850669325050662,0.09401859725874269,0.07340662281177532,9.651741250318156e-06,0.8886141630866622,0.25525419153420364,0.20131677380011276,0.5017298062198206,0.3015391197162077,0.6536035327617323,Australia,1976,0.29872509054853785,High,0.5,0.5666124991018933
3,1977,0.013099421885582087,0.11221732966243224,0.07599153091896721,1.0975200247195352e-05,0.8272726626494371,0.3011664356036804,0.2192960081389715,0.5110502943597609,0.41553724073000825,0.5132082746898379,Australia,1977,0.2796060961629335,High,0.5,0.6342510773376782
4,1978,0.013443141312331694,0.11136564042463525,0.06987088531227742,1.3458840375583626e-05,0.5666124991018933,0.3380382942658518,0.2286654657551043,0.45552393829068016,0.22438359055893498,0.6149087495100134,Australia,1978,0.2957837067969064,High,0.5,0.6956388076473643
5,1979,0.014239837884079488,0.12233272667400495,0.07268235569844081,1.6495784478662156e-05,0.6342510773376782,0.33668457174731314,0.2215750710774844,0.4883241530731677,0.423171519445419,0.6398180725576189,Australia,1979,0.25852617927624155,High,0.5,0.6563919771002098
6,1980,0.014733250413817067,0.13023839782867042,0.06500406932896433,2.0587597133076368e-05,0.6956388076473643,0.3295944526097274,0.33552796477447633,0.5786735572716495,0.18430561169518261,0.6933563587086209,Australia,1980,0.2693112530322235,High,0.5,0.7692659496723262
7,1981,0.015503324210307187,0.142150109131212,0.05779559412155839,2.3877979424958117e-05,0.6563919771002098,0.310780960574393,0.39250441162297234,0.6886554886615712,0.17968851433824687,0.6014278723796875,Australia,1981,0.26538940803004823,High,0.5,0.6897698239172882
8,1982,0.015515506426780401,0.1434365032420366,0.05381062914788399,2.7753553955968218e-05,0.7692659496723262,0.3860349555921557,0.28488223424247994,0.756080427112929,0.24979740406221412,0.6172454309319355,Australia,1982,0.17665766485583317,High,0.5,0.3217160560143538
9,1983,0.015423449969069716,0.12616579457325605,0.057441892437040516,3.3107869277438083e-05,0.6897698239172882,0.5356828839059123,0.17092934054548795,0.6852842583969254,0.46145118953607656,0.676011529660689,Australia,1983,0.2599968711520573,High,0.5,0.4896996211160716
10,1984,0.016651331114796154,0.11728180787684368,0.06529896047664208,3.8483557131076134e-05,0.3217160560143538,0.48193003416128527,0.30387438319197857,0.6680314105585716,0.5713047578442114,0.6426172240262045,Australia,1984,0.3644159943349733,Target,0.5,0.6299125294483077
11,1985,0.017774084901564586,0.1500435122416987,0.07211306261622141,4.7653032496091083e-05,0.4896996211160716,0.4438192851934846,0.5001265890034647,0.6884571642010404,0.5252696680176423,0.7801567363100048,Australia,1985,0.2815670186640211,High,0.5,0.598587761257967
